timestamp_iso,file_path,start_index,end_index,exit_code,extraction_start__to__load_the_analysis,load_the_analysis__to__analysis_loaded,analysis_loaded__to__get_the_assists,get_the_assists__to__filter_for_extract_function_assist,filter_for_extract_function_assist__to__apply_extract_function_assist,apply_extract_function_assist__to__extraction_end,time,time(ms)
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/27_zed-async-generics-hrtb/crates/language_tools/src/key_context_view.rs,4715,4869,0,23700,126301,3000,2874409,2000,28000,3057410,3.05741
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/28_uv-generics/crates/uv/src/commands/pip/list.rs,11117,11295,0,20300,117001,2600,2832209,1800,17800,2991710,2.99171
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/29_uv-generics-hrtb-nlcf/crates/uv/src/settings.rs,107526,107726,0,58300,259301,3400,9109130,2100,121501,9553732,9.553732
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/30_uv-const/crates/uv-configuration/src/dry_run.rs,715,798,0,13200,98701,2400,1063903,1900,3400,1183504,1.183504
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/31_ripgrep-nlcf-generics/crates/matcher/src/lib.rs,25220,25890,0,35700,201900,2500,8263228,2400,60100,8565828,8.565828
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/32_ripgrep-nlcf/crates/pcre2/src/matcher.rs,13627,13799,0,20000,130901,2500,2870809,4500,26100,3054810,3.05481
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/33_deno-async/ext/node/ops/ipc.rs,12397,12455,0,23800,151800,2600,5124717,2300,40900,5346117,5.346117
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/34_starship-nlcf/src/configure.rs,5156,5392,0,24700,140600,3000,3464112,2000,33000,3667412,3.667412
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/35_starship-generics/src/modules/git_state.rs,8242,8447,0,14900,119201,2800,2671109,7400,26900,2842310,2.84231
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/36_union-generics/lib/queue-msg/src/lib.rs,13576,13848,0,23200,156801,2700,6217421,2000,49300,6451422,6.451422
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/37_zed-async/crates/language_tools/src/key_context_view.rs,4715,4869,0,16700,115501,2500,2706909,2400,29400,2873410,2.87341
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/38_fuel-core-nlcf/crates/services/txpool/src/service/update_sender/tests/test_sending.rs,3928,4404,0,17400,98701,2500,2984910,2200,12000,3117711,3.117711
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/39_fuel-core-async/crates/services/relayer/src/service/test.rs,901,1109,0,15700,88300,2700,1971006,2400,9301,2089407,2.089407
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/3_zed-dyn-async/crates/language_tools/src/key_context_view.rs,4715,4869,0,22200,142200,2500,2708209,2300,33000,2910409,2.910409
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/40_vaultwarden-generics-const/src/crypto.rs,1227,1406,0,14600,94500,2300,1822806,2100,18900,1955206,1.955206
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/4_meilisearch-generic/crates/milli/src/update/index_documents/helpers/mod.rs,1128,1243,0,20800,103300,2600,1728106,1800,9500,1866106,1.866106
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/5_meilisearch-generic-hrtb/crates/milli/src/update/index_documents/helpers/mod.rs,1567,1665,0,22800,137000,3700,1784306,2100,9100,1959006,1.959006
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/6_meilisearch-generic-hrtb/crates/milli/src/update/index_documents/helpers/mod.rs,1187,1211,0,20200,102201,2700,1718505,1900,7601,1853107,1.853107
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/7_meilisearch-const/crates/milli/src/update/new/channel.rs,9487,9637,0,29600,154701,2600,6484922,2700,62000,6736523,6.736523
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/8_meilisearch-const/crates/index-scheduler/src/queue/mod.rs,6184,6281,0,26300,117401,2800,2827509,2100,23300,2999410,2.99941
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/9_union-const/lib/ssz/src/types/bitfield.rs,14393,14456,0,30600,170600,2600,5568719,2100,54400,5829019,5.829019
